spot1 : -1
spot2 : -1
spot3 : -1
spot4 : -1
spot5 : -1
spot6 : -1
spot7 : -1
spot8 : -1
spot9 : -1
spot10 : -1
spot11 : -1
spot12 : -1
spot13 : -1
spot14 : -1
spot15 : -1
spot16 : -1
spot17 : -1
spot18 : -1
spot19 : -1
spot20 : -1
spot21 : -1
spot22 : -1
spot23 : -1
spot24 : -1
spot25 : -1
spot26 : -1
spot27 : -1
spot28 : -1
spot29 : -1
spot30 : -1
spot31 : -1
spot32 : -1
spot33 : -1
spot34 : -1
spot35 : -1
spot36 : -1
spot37 : -1
spot38 : -1
spot39 : -1
spot40 : -1
spot41 : -1
spot42 : -1
spot43 : -1
spot44 : -1
spot45 : -1
spot46 : -1
spot47 : -1
spot48 : -1
spot49 : -1
spot50 : -1
