spot1 : 28
spot2 : 76
spot3 : 71
spot4 : 12
spot5 : 34
spot6 : 46
spot7 : 5
spot8 : 35
spot9 : 1
spot10 : 95
spot11 : 85
spot12 : 21
spot13 : 44
spot14 : 56
spot15 : 54
spot16 : 13
spot17 : 79
spot18 : 66
spot19 : 8
spot20 : 89
spot21 : 55
spot22 : 49
spot23 : 25
spot24 : 19
spot25 : 0
spot26 : 24
spot27 : 37
spot28 : 60
spot29 : 2
spot30 : 10
spot31 : 78
spot32 : 91
spot33 : 82
spot34 : 17
spot35 : 86
spot36 : 96
spot37 : 90
spot38 : 16
spot39 : 81
spot40 : 39
spot41 : 97
spot42 : 53
spot43 : 7
spot44 : 48
spot45 : 27
spot46 : 68
spot47 : 50
spot48 : 57
spot49 : 23
spot50 : 33
